RBD;NOM_RBD
624;ESCUELA DIFERENCIAL JUAN SANDOVAL C.
625;ESCUELA TOMASA OLIVARES CAAMANO
626;ESCUELA BASICA DAVID LEON TAPIA
628;ESCUELA DE PENUELAS
629;COLEGIO PABLO NERUDA
630;COLEGIO LA HERRADURA
631;ESCUELA SAN RAFAEL
632;ESCUELA BASICA MANUEL DE SALAS
634;ESCUELA DE HUACHALALUME
635;ESCUELA DE TOTORALILLO
637;ESCUELA LUCILA GODOY ALCAYAGA
638;ESCUELA DE CAMARONES
639;ESCUELA DE LAS BARRANCAS
640;ESCUELA DE EL MOLLACO
641;ESCUELA DE LAS CARDAS
642;ESCUELA DE EL PENON
643;ESCUELA DE TAMBILLOS
644;ESCUELA DE PUERTO ALDEA
645;ESCUELA DE EL TANGUE
646;COLEGIO BERNARDO O´HIGGINS
647;COLEGIO MANUEL MONTT
648;COLEGIO SANTA MARTA
649;COLEGIO PARTICULAR GABRIELA MISTRAL
650;ESCUELA PARTICULAR METODISTA
655;COLEGIO PARTICULAR SAN IGNACIO
656;LICEO PEDRO REGALADO S. VIDELA O.
657;ESCUELA LUIS CRUZ MARTINEZ
658;ESCUELA PATRICIO LYNCH
659;ESCUELA PADRE BLAS HERNANDEZ SANCHEZ
661;ESCUELA LUIS AMENABAR OSSA
662;ESCUELA DE MAITENCILLO
664;COLEGIO PARROQUIAL DE ANDACOLLO
665;LICEO CARLOS ROBERTO MONDACA CORTES
666;ESCUELA BASICA LUCILA GODOY ALCAYAGA
668;ESCUELA EDMUNDO VIDAL CARDENAS
669;ESCUELA NEFTALI REYES
671;ESCUELA RIOS DE ELQUI
672;ESCUELA DE DIAGUITAS JUAN TORRES M.
673;ESCUELA JOSE ABELARDO NUNEZ
674;ESCUELA DE VINITA ALTA
676;ESCUELA DE SAN CARLOS
678;ESCUELA AMELIA BARAHONA MUJICA
680;ESCUELA FEDERICO BARNES PAYNE
681;ESCUELA DE EL ARENAL
682;ESCUELA DAGOBERTO CAMPOS NUNEZ
683;ESCUELA DE LA CALERA
686;ESCUELA BÁSICA MARIO AQUILES RODRIGUEZ
687;ESCUELA DE HUANTA
688;ESCUELA DE CHAPILCA
689;ESCUELA DE VARILLAR
690;COLEGIO ANTONIO VARAS
691;ESCUELA MUNICIPAL CIELO CLARO--PAIHUANO
692;ESCUELA JERONIMO GODOY VILLANUEVA
693;ESCUELA MUNICIPAL QUEBRADA DE PAIHUANO
694;ESCUELA GABRIELA MISTRAL
695;ESCUELA MUNICIPAL TRES CRUCES
696;ESCUELA MUNICIPAL LA ORTIGA
697;ESCUELA MUNICIPAL ALCOHUAZ
699;ESCUELA MARIA ISABEL PERALTA P.
701;LICEO ESTELA AVILA DE PERRY
704;LICEO ALEJANDRO ALVAREZ JOFRE
705;LICEO POLITECNICO DE OVALLE
706;COLEGIO FRAY JORGE
707;ESCUELA BASICA HELENE LANG
708;ESCUELA ANTONIO TIRADO LANAS
709;ESCUELA BASICA OSCAR ARAYA MOLINA
710;ESCUELA BASICA JOSE TOMAS OVALLE B.
711;ESCUELA GUARDIAMARINA ERNESTO RIQUELME V
712;ESCUELA BÁSICA ARTURO ALESSANDRI PALMA
713;ESCUELA ARTURO VILLALON SIEULANNE
714;ESCUELA BASICA VISTA HERMOSA
715;ESCUELA BASICA BERNARDO O¦HIGGINS RIQUELME
716;ESC.PADRE JOSEPH BENEDIKT STEGMEIER
718;ESCUELA MARCOS MACUADA OGALDE
719;COLEGIO YUNGAY
721;ESCUELA BASICA FLORENCIO ESPINOZA LOPEZ
722;ESC. HEBERTO VELAZQUEZ VELAZQUEZ
723;ESCUELA VILLORRIO EL TALHUEN
724;ESCUELA BASICA CALETA EL MAITEN
725;ESCUELA EL CRISOL
726;ESCUELA QUEBRADA SECA DE SOTAQUI
727;ESCUELA LA PALOMA
728;ESCUELA EL ALGARROBO
729;ESCUELA BASICA LOS OLIVOS
730;ESCUELA BASICA LUCIA NUNEZ DE LA CUADRA
731;ESCUELA EL TRAPICHE
733;ESCUELA PADRE DAMIAN HEREDIA
735;ESCUELA LA QUIROGA
736;ESCUELA BASICA LOS SOSSAS
737;ESCUELA BASICA VALENTIN LETELIER
740;ESCUELA PEDRO ENRIQUE ALFONSO BARRIOS
743;ESCUELA CARACHILLA
744;ESCUELA ORURO
745;ESCUELA LA HIGUERA DE PALOMA
746;ESCUELA EL SAUCE
747;ESCUELA CERRO TAMAYA
749;ESCUELA TRANQUE RECOLETA
750;ESCUELA ELVIRA DEL CARMEN OCHOA AVILES
752;ESCUELA VALLE HERMOSO
753;ESC.BAS.JUAN PABLO ARTIGUES PENAFIEL
754;ESCUELA LA ARAUCANA
755;ESCUELA CANELILLA
756;ESCUELA SANTA CATALINA
757;ESCUELA BASICA EL GUINDO
758;ESCUELA CORDILLERA
759;ESCUELA BASICA GASPAR CABRALES
760;ESCUELA LAS LOMAS DE PUNILLA
762;ESCUELA CALETA EL TORO
763;COLEGIO SAN JUAN BAUTISTA
766;COLEGIO SANTA MARIA EUFRASIA
